id,title
278,The Shawshank Redemption
19404,Dilwale Dulhania Le Jayenge
238,The Godfather
424,Schindler's List
240,The Godfather: Part II
667257,Impossible Things
129,Spirited Away
730154,Your Eyes Tell
372754,Dou kyu sei – Classmates
372058,Your Name.
389,12 Angry Men
696374,Gabriel's Inferno
496243,Parasite
497,The Green Mile
724089,Gabriel's Inferno: Part II
155,The Dark Knight
429,"The Good, the Bad and the Ugly"
680,Pulp Fiction
122,The Lord of the Rings: The Return of the King
761053,Gabriel's Inferno: Part III
13,Forrest Gump
11216,Cinema Paradiso
346,Seven Samurai
769,GoodFellas
533514,Violet Evergarden: The Movie
637,Life Is Beautiful
311,Once Upon a Time in America
14537,Harakiri
539,Psycho
652837,"Josee, the Tiger and the Fish"
40096,A Dog's Will
12477,Grave of the Fireflies
510,One Flew Over the Cuckoo's Nest
550,Fight Club
283566,Evangelion: 3.0+1.0 Thrice Upon a Time
324857,Spider-Man: Into the Spider-Verse
598,City of God
255709,Hope
378064,A Silent Voice: The Movie
92321,Hotarubi no Mori e
4935,Howl's Moving Castle
18491,Neon Genesis Evangelion: The End of Evangelion
1891,The Empire Strikes Back
599,Sunset Boulevard
441130,Wolfwalkers
120,The Lord of the Rings: The Fellowship of the Ring
3782,Ikiru
704264,Primal: Tales of Savagery
423,The Pianist
157336,Interstellar
244786,Whiplash
121,The Lord of the Rings: The Two Towers
73,American History X
567,Rear Window
27205,Inception
635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train
632632,Given
901,City Lights
12493,High and Low
914,The Great Dictator
807,Se7en
361743,Top Gun: Maverick
128,Princess Mononoke
644479,Dedicated to my ex
274,The Silence of the Lambs
25237,Come and See
630566,Clouds
207,Dead Poets Society
3082,Modern Times
527641,Five Feet Apart
101,Léon: The Professional
335,Once Upon a Time in the West
556574,Hamilton
975,Paths of Glory
618344,Justice League Dark: Apokolips War
105,Back to the Future
592350,My Hero Academia: Heroes Rising
447362,Life in a Year
575813,Better Days
16672,Woman in the Dunes
42269,We All Loved Each Other So Much
18148,Tokyo Story
10494,Perfect Blue
10376,The Legend of 1900
28,Apocalypse Now
572154,Rascal Does Not Dream of a Dreaming Girl
299534,Avengers: Endgame
29259,Le Trou
637920,Miracle in Cell No. 7
265177,Mommy
670,Oldboy
537061,Steven Universe: The Movie
522924,The Art of Racing in the Rain
791373,Zack Snyder's Justice League
508965,Klaus
290098,The Handmaiden
299536,Avengers: Infinity War
77338,The Intouchables
532067,KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson
545611,Everything Everywhere All at Once
8587,The Lion King
1585,It's a Wonderful Life
797,Persona
526702,Black Beauty
5156,Bicycle Thieves
110420,Wolf Children
476292,Maquia: When the Promised Flower Blooms
24188,Il Sorpasso
490132,Green Book
610892,Violet Evergarden: Eternity and the Auto Memory Doll
504253,I Want to Eat Your Pancreas
20532,Sansho the Bailiff
37257,Witness for the Prosecution
755812,"Miraculous World: New York, United HeroeZ"
664767,Mortal Kombat Legends: Scorpion's Revenge
663558,New Gods: Nezha Reborn
1398,Stalker
422,8½
10098,The Kid
284,The Apartment
823754,Bo Burnham: Inside
354912,Coco
694,The Shining
313106,Doctor Who: The Day of the Doctor
185,A Clockwork Orange
490,The Seventh Seal
26451,Investigation of a Citizen Above Suspicion
426,Vertigo
470044,The Hate U Give
2457,Children of Paradise
531428,Portrait of a Lady on Fire
16869,Inglourious Basterds
518068,Along with the Gods: The Last 49 Days
398818,Call Me by Your Name
11,Star Wars
629,The Usual Suspects
98,Gladiator
399106,Piper
1124,The Prestige
857,Saving Private Ryan
77,Memento
11324,Shutter Island
603,The Matrix
620683,My Mom is a Character 3
517814,Capernaum
50014,The Help
324786,Hacksaw Ridge
508442,Soul
103,Taxi Driver
406997,Wonder
872,Singin' in the Rain
19,Metropolis
11878,Yojimbo
475557,Joker
705,All About Eve
133919,Scenes from a Marriage
289,Casablanca
439,La Dolce Vita
400608,Bo Burnham: Make Happy
895,Andrei Rublev
600354,The Father
111,Scarface
20914,My Friends
1422,The Departed
548,Rashomon
100,"Lock, Stock and Two Smoking Barrels"
472454,Ayla: The Daughter of War
606856,Togo
996,Double Indemnity
666,Central Station
992,Sherlock Jr.
640344,Me Against You: Mr. S's Vendetta
654299,Out of the Clear Blue Sky
615457,Nobody
500,Reservoir Dogs
68718,Django Unchained
831827,Far From the Tree
55823,The Great War
337404,Cruella
