id,title,original_language,popularity,release_date,vote_average,vote_count,tags
278,The Shawshank Redemption,en,94.075,1994-09-23,8.7,21862,"drama,crime framed in the 1940s for the double murder of his wife and her lover, upstanding banker andy dufresne begins a new life at the shawshank prison, where he puts his accounting skills to work for an amoral warden. during his long stretch in prison, dufresne comes to be admired by the other inmates -- including an older prisoner named red -- for his integrity and unquenchable sense of hope."
19404,Dilwale Dulhania Le Jayenge,hi,25.408,1995-10-19,8.7,3731,"comedy,drama,romance raj is a rich, carefree, happy-go-lucky second generation nri. simran is the daughter of chaudhary baldev singh, who in spite of being an nri is very strict about adherence to indian values. simran has left for india to be married to her childhood fiancé. raj leaves for india with a mission at his hands, to claim his lady love under the noses of her whole family. thus begins a saga."
238,The Godfather,en,90.585,1972-03-14,8.7,16280,"drama,crime spanning the years 1945 to 1955, a chronicle of the fictional italian-american corleone crime family. when organized crime family patriarch, vito corleone barely survives an attempt on his life, his youngest son, michael steps in to take care of the would-be killers, launching a campaign of bloody revenge."
424,Schindler's List,en,44.761,1993-12-15,8.6,12959,"drama,history,war the true story of how businessman oskar schindler saved over a thousand jewish lives from the nazis while they worked as slaves in his factory during world war ii."
240,The Godfather: Part II,en,57.749,1974-12-20,8.6,9811,"drama,crime in the continuing saga of the corleone crime family, a young vito corleone grows up in sicily and in 1910s new york. in the 1950s, michael corleone attempts to expand the family business into las vegas, hollywood and cuba."
667257,Impossible Things,es,14.358,2021-06-17,8.6,255,"family,drama matilde is a woman who, after the death of her husband - a man who constantly abused her - finds her new best friend in miguel, her young, insecure, disoriented and even dealer neighbor"
129,Spirited Away,ja,92.056,2001-07-20,8.5,13093,"animation,family,fantasy a young girl, chihiro, becomes trapped in a strange new world of spirits. when her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family."
730154,Your Eyes Tell,ja,51.345,2020-10-23,8.5,339,"romance,drama a tragic accident lead to kaori's blindness, but she clings to life and the smaller pleasures it can still afford her. she meets rui and begins to talk to him. rui was once a promising kickboxer, but something happened in his past. kaori's smile brings out a change in rui. however, the two are connected in more than one way. rui attempts to do what is right."
372754,Dou kyu sei – Classmates,ja,14.285,2016-02-20,8.5,239,"romance,animation rihito sajo, an honor student with a perfect score on the entrance exam and hikaru kusakabe, in a band and popular among girls, would have never crossed paths. until one day they started talking at the practice for their school’s upcoming chorus festival. after school, the two meet regularly, as hikaru helps rihito to improve his singing skills. while they listen to each other’s voice and harmonize, their hearts start to beat together."
372058,Your Name.,ja,158.27,2016-08-26,8.5,8895,"romance,animation,drama high schoolers mitsuha and taki are complete strangers living separate lives. but one night, they suddenly switch places. mitsuha wakes up in taki’s body, and he in hers. this bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other."
